postal_code,type,city_en
81038,POST_OFFICE,Diyagaha
91514,POST_OFFICE,Diyakobala
81422,POST_OFFICE,Diyalape
51504,POST_OFFICE,Diyasenpura
90150,POST_OFFICE,Diyatalawa
70017,POST_OFFICE,Dodampe
80250,POST_OFFICE,Dodanduwa
60530,POST_OFFICE,Dodangaslanda
12020,POST_OFFICE,Dodangoda
20126,POST_OFFICE,Dolapihilla
20510,POST_OFFICE,Dolosbage
70404,POST_OFFICE,Doloswalakanda
20532,POST_OFFICE,Doluwa
91010,POST_OFFICE,Dombagahawela
12416,POST_OFFICE,Dombagoda
71115,POST_OFFICE,Dombemada
11680,POST_OFFICE,Dompe
90104,POST_OFFICE,Doolgolla
22567,POST_OFFICE,Doragala
20816,POST_OFFICE,Doragamuwa
32104,POST_OFFICE,Dorakumbura
60013,POST_OFFICE,Doratiyawa
71601,POST_OFFICE,Dorawaka
21054,POST_OFFICE,Dullewa
70495,POST_OFFICE,Dumbara Manana
60260,POST_OFFICE,Dummalasuriya
11264,POST_OFFICE,Dunagaha
61192,POST_OFFICE,Dunkannawa
21046,POST_OFFICE,Dunkolawatte
22002,POST_OFFICE,Dunukedeniya
50214,POST_OFFICE,Dunumadalawa
71605,POST_OFFICE,Dunumala
20824,POST_OFFICE,Dunuwila
21538,POST_OFFICE,Dunuwilapitiya
50393,POST_OFFICE,Dutuwewa
90013,POST_OFFICE,Egodawela
70600,POST_OFFICE,Eheliyagoda
60716,POST_OFFICE,Ehetuwewa
11380,POST_OFFICE,Ekala
91254,POST_OFFICE,Ekamuthugama
20732,POST_OFFICE,Ekiriya
91502,POST_OFFICE,Ekiriyankumbura
60165,POST_OFFICE,Elabadagama
51258,POST_OFFICE,Elahera
22742,POST_OFFICE,Elamulla
70032,POST_OFFICE,Elapatha
50014,POST_OFFICE,Elayapattuwa
60156,POST_OFFICE,Elibichchiya
21012,POST_OFFICE,Elkaduwa
90090,POST_OFFICE,Ella
80402,POST_OFFICE,Ella Tanabaddegama
82619,POST_OFFICE,Ellagala
70492,POST_OFFICE,Ellagawa
11116,POST_OFFICE,Ellakkala
70552,POST_OFFICE,Ellaulla
70606,POST_OFFICE,Ellawala
51034,POST_OFFICE,Ellewewa
40275,POST_OFFICE,Elluvaithivu
80400,POST_OFFICE,Elpitiya
42580,POST_OFFICE,Eluthumadduval
61308,POST_OFFICE,Eluwankulama
70200,POST_OFFICE,Embilipitiya
60718,POST_OFFICE,Embogama
50265,POST_OFFICE,Endagala
70156,POST_OFFICE,Endana
50260,POST_OFFICE,Eppawala
70506,POST_OFFICE,Eratna
30300,POST_OFFICE,Eravur
21108,POST_OFFICE,Erawula Junction
70602,POST_OFFICE,Erepola
40080,POST_OFFICE,Erlalai
41200,POST_OFFICE,Erukkalampiddy
11108,POST_OFFICE,Essella
21402,POST_OFFICE,Etanwala
50584,POST_OFFICE,Etawatunuwewa
50518,POST_OFFICE,Etaweeragollewa
91250,POST_OFFICE,Ethiliwewa
91020,POST_OFFICE,Ethimalewewa
80458,POST_OFFICE,Ethkandura
80112,POST_OFFICE,Ethumale
61141,POST_OFFICE,Etiyawala
61343,POST_OFFICE,Ettale
90140,POST_OFFICE,Ettampitiya
20202,POST_OFFICE,Etulgama
60266,POST_OFFICE,Etungahakotuwa
91008,POST_OFFICE,Galabedda
20664,POST_OFFICE,Galaboda
20915,POST_OFFICE,Galabodawatta
50210,POST_OFFICE,Galadivulwewa
20100,POST_OFFICE,Galagedara
20420,POST_OFFICE,Galaha
51416,POST_OFFICE,Galamuna
32066,POST_OFFICE,Galapitagala
71603,POST_OFFICE,Galapitamada
71505,POST_OFFICE,Galatara
90065,POST_OFFICE,Galauda
90206,POST_OFFICE,Galedanda
50390,POST_OFFICE,Galenbindunuwewa
21200,POST_OFFICE,Galewela
60700,POST_OFFICE,Galgamuwa
20152,POST_OFFICE,Galhinna
71350,POST_OFFICE,Galigamuwa Town
50006,POST_OFFICE,Galkadawala
50120,POST_OFFICE,Galkiriyagama
50064,POST_OFFICE,Galkulama
80000,POST_OFFICE,Galle
70062,POST_OFFICE,Gallella
20095,POST_OFFICE,Gallellagama
60712,POST_OFFICE,Gallewa
31318,POST_OFFICE,Galmetiyawa
61233,POST_OFFICE,Galmuruwa
50170,POST_OFFICE,Galnewa
51375,POST_OFFICE,Galoya Junction
12005,POST_OFFICE,Galpatha
71312,POST_OFFICE,Galpatha
90752,POST_OFFICE,Galporuyaya
12016,POST_OFFICE,Gamagoda
50057,POST_OFFICE,Gambirigaswewa
90512,POST_OFFICE,Gamewela
21068,POST_OFFICE,Gammaduwa
11000,POST_OFFICE,Gampaha
20500,POST_OFFICE,Gampola
81170,POST_OFFICE,Gandara
80440,POST_OFFICE,Ganegoda
11020,POST_OFFICE,Ganemulla
50142,POST_OFFICE,Ganewalpola
21404,POST_OFFICE,Gangala Puwakpitiya
